1,2,3,4,5,6,,
36,5.870399,2.4792266,8.3497257,3.3911722,NULL,,
37,5.6109896,2.3574412,7.9685307,3.2535481,NULL,,
38,5.2506657,2.2713103,7.5220761,2.9793553,NULL,,
39,4.941277,2.174298,7.115675,2.7669787,NULL,,
40,4.5886388,2.0925663,6.6813049,2.4960728,NULL,,
41,4.3042607,1.9298003,6.2341614,2.3744607,NULL,,
42,4.3042607,1.9298003,6.2341614,2.3744607,NULL,,
43,3.9487567,1.8063935,5.7552505,2.1423631,NULL,,
44,3.6528287,1.6903961,5.3433247,1.9624326,NULL,,
45,3.2454343,1.563979,4.8095131,1.6814551,NULL,,
46,2.8380396,1.437562,4.2757015,1.4004776,NULL,,
47,2.3758883,1.2664598,3.6424482,1.1094286,NULL,,
48,1.9848633,1.0559984,3.0409617,0.9288648,NULL,,
49,1.5217566,0.8710046,2.3928611,0.650752,NULL,,
50,1.0365477,0.6867051,1.7233528,0.3498425,NULL,,
51,0.5071343,0.5037945,1.0110288,0.0033398,NULL,,
52,-0.0693499,0.2805977,0.2113479,-0.3499476,NULL,,
53,-0.5910773,0.1020862,-0.4888912,-0.6931636,NULL,,
54,-0.9946079,-0.0754983,-1.0700061,-0.9191095,NULL,,
55,-1.269389,-0.2060818,-1.4753709,-1.0633072,NULL,,
56,-1.4519396,-0.2838764,-1.735716,-1.1680632,NULL,,
57,-1.409646,-0.3130485,-1.7225946,-1.0965976,NULL,,
58,-1.29336,-0.3399048,-1.6331648,-0.9534552,NULL,,
59,-1.1405976,-0.2658149,-1.4063125,-0.8747827,NULL,,
60,-0.9003818,-0.2083942,-1.1086761,-0.6919875,NULL,,
61,-0.5621603,-0.1215689,-0.6836292,-0.4405914,NULL,,
62,-0.2220279,-0.0069603,-0.2288881,-0.2150676,NULL,,
63,0.0546643,0.1514065,0.2061708,-0.0967422,NULL,,
64,0.4255403,0.2836114,0.7092518,0.1419288,NULL,,
65,0.7377955,0.4222987,1.1601943,0.3154968,NULL,,
66,0.9808777,0.5213943,1.502372,0.4594835,NULL,,
67,1.1807109,0.6357703,1.8165812,0.5449407,NULL,,
68,1.3546201,0.6952741,2.0499942,0.659346,NULL,,
69,1.474728,0.7239844,2.1988125,0.7507436,NULL,,
70,1.636174,0.709631,2.3459051,0.926543,NULL,,
71,1.6630535,0.7783948,2.4415483,0.8846587,NULL,,
72,1.7668341,0.7844153,2.5513494,0.9824188,NULL,,
73,1.8638843,0.7999284,2.6639128,1.063956,NULL,,
74,1.8974943,0.8591996,2.756794,1.0382947,NULL,,
75,1.9820391,0.9075895,2.8897285,1.0744497,NULL,,
76,2.0156491,0.9668607,2.9826097,1.0487884,NULL,,
77,2.0550339,1.0027478,3.0578818,1.0522863,NULL,,
78,2.0281124,1.040718,3.0689304,0.9873943,NULL,,
79,1.9108708,1.0536826,2.9646535,0.8571882,NULL,,
80,1.8570695,1.022889,2.8800585,0.8341804,NULL,,
81,1.749467,0.961302,2.7108691,0.788165,NULL,,
82,1.6495504,0.904114,2.5537643,0.7454364,NULL,,
83,1.4448977,0.8270139,2.2720115,0.6178839,NULL,,
84,1.3142375,0.7522295,2.0665669,0.562008,NULL,,
85,1.3142375,0.7522295,2.0665669,0.562008,NULL,,
86,1.1374619,0.6510507,1.7886127,0.4864112,NULL,,
87,0.9337647,0.5878422,1.5217069,0.3459225,NULL,,
88,0.7367979,0.5151411,1.252039,0.2216567,NULL,,
89,0.5907659,0.4315586,1.0224246,0.1592072,NULL,,
90,0.5052656,0.3692771,0.8746427,0.1359884,NULL,,
91,0.4216762,0.3347789,0.7565552,0.0868973,NULL,,
92,0.3592336,0.2856947,0.6450283,0.073539,NULL,,
93,0.3102519,0.2176253,0.5279772,0.0926266,NULL,,
94,0.2074689,0.1187624,0.3263313,0.0887065,NULL,,
95,0.1152382,0.0659734,0.1813116,0.0492648,NULL,,
96,-0.0000502,-0.0000127,0.0000371,-0.0000375,NULL,,
97,-0.1124722,-0.024324,-0.1366962,-0.0881483,NULL,,
